Goblins
Hobgoblins
Bugbears
Blues
Troglodytes
Viletooth Lizardfolk
Blackscale Lizardfolk
Poison Dusk Lizardfolk
Common Kobolds
Jungle Kobolds
Dark Talon Lizardfolk
Desert Kobolds
Shazak Lizardfolk
Arctic Kobolds
Quanak Lizardfolk
Aquatic Kobolds
Common Orcs
Jungle Orcs
Desert Orcs
Skraal
Aquatic Orcs
Common Gnolls
Apaloosa
Forest Gnolls
Bretons
Nords
Imperials
Redguard
Sand People
Sea Dwellers
Wild Elves
Wood Elves
High Elves
Drow
Frost Elves
Gray Elves
Sea Elves
Hill Dwarves
Mountain Dwarves
Savasi
Deep Dwarves
Duergar
Rock Gnomes
Forest Gnomes
Svirfneblin
Lightfoot Halflings
Tallfellow Halflings
Rhulisti Halflings
Deep Halflings
Rhul-thaun Halflings
Maenads
Locathah
Merfolk
Sahuagin
Plains Centaurs
Forest Centaurs
Plains Minotaur
Forest Harpies
Arctic Minotaur
Mountain Harpies
Forest Wargen
Plains Wargen
Nymphs
Dryads
Nixies
Satyrs
Sprites
LeShay
Pixies
